Name of Module,Name,Day,Start Time,End Time,Weeks,course_code,fixed_event
Accelerated Natural Language Processing,Accelerated Natural Language Processing - Lecture,Mon,11:00:00,12:00:00,Sem1 wk1-Sem1 wk10,INFR11125,False
Accelerated Natural Language Processing,Accelerated Natural Language Processing - Lecture <15>,Thu,11:00:00,12:00:00,Sem1 wk7,INFR11125,False
Accelerated Natural Language Processing,Accelerated Natural Language Processing - Lecture <16-18>,Thu,11:00:00,12:00:00,Sem1 wk8-Sem1 wk10,INFR11125,False
Accelerated Natural Language Processing,"Accelerated Natural Language Processing - Lecture <10, 12>",Thu,11:00:00,12:00:00,"Sem1 wk2, Sem1 wk4",INFR11125,False
Accelerated Natural Language Processing,"Accelerated Natural Language Processing - Lecture <11, 13>",Thu,11:00:00,12:00:00,"Sem1 wk3, Sem1 wk5",INFR11125,False
Accelerated Natural Language Processing,Accelerated Natural Language Processing - Lecture <09>,Thu,11:00:00,12:00:00,Sem1 wk1,INFR11125,False
Accelerated Natural Language Processing,"Accelerated Natural Language Processing - Lecture (G.07, Informatics Forum)",Thu,11:00:00,12:00:00,Sem1 wk6,INFR11125,False
Accelerated Natural Language Processing,"Accelerated Natural Language Processing - Lecture (G.07, Informatics Forum)",Tue,11:00:00,12:00:00,"Sem1 wk7, Sem1 wk10",INFR11125,False
Accelerated Natural Language Processing,Accelerated Natural Language Processing - Lecture <11>,Tue,11:00:00,12:00:00,Sem1 wk3,INFR11125,False
Accelerated Natural Language Processing,"Accelerated Natural Language Processing - Lecture <13-14, 16>",Tue,11:00:00,12:00:00,"Sem1 wk5-Sem1 wk6, Sem1 wk8",INFR11125,False
Accelerated Natural Language Processing,"Accelerated Natural Language Processing - Lecture <09-10, 12>",Tue,11:00:00,12:00:00,"Sem1 wk1-Sem1 wk2, Sem1 wk4",INFR11125,False
Accelerated Natural Language Processing,Accelerated Natural Language Processing - Lecture <17>,Tue,11:00:00,12:00:00,Sem1 wk9,INFR11125,False
